GPS_TIME (ms),LONG (deg),LAT (deg),ELEV (m),SPEED (m/s),SYSTEM_TIME (ms),ACCEL_Y (m/s^2),ACCEL_X (m/s^2),ACCEL_Z (m/s^2),PITCH_RATE (rad/s),ROLL_RATE (rad/s),YAW_RATE (rad/s),PITCH (rad),ROLL (rad),MATH_GRID_X,MATH_GRID_Y,MATH_GRID_Z,MATH_GRID_X_DELTA,MATH_GRID_Y_DELTA,MATH_GRID_X_SPEED,MATH_GRID_Y_SPEED,MATH_GRID_X_ACCEL,MATH_GRID_Y_ACCEL,MATH_DISTANCE_FROM_PREV,MATH_ELAPSED_DISTANCE,MATH_CALC_SPEED,MATH_GNSS_SPEED_LAG,MATH_RADIUS,MATH_RADIUS_DIFFERENTIAL
68965400,-81.85767638,41.39969268,236.4,0.2160666665,1747595365390,-3.281779766,1.3801862,9.861385345,0.0144226728,0.05214500427,0.2014516294,-0.01012633219,0.01753090045,677853.2412,-4737752.62,235.6,0,0,0,0,0,0,0,0,0,-0.2160666665,0,0
68965500,-81.85767638,41.39969268,236.4,0.3652555552,1747595365507,-4.10556221,1.693733335,9.445510864,-0.01754278503,0.02445496619,0.03591412306,0.002369354618,-0.002324463336,677853.2412,-4737752.62,235.6,0,0,0,0,-0.9908108993,-1.724432548,0,0,0,-0.3652555552,0,0
68965600,-81.85767664,41.39969232,236.4,0.7150777772,1747595365597,-3.313215733,1.501864314,9.350732803,0.05414852966,0.1954592541,0.1565143764,0.009032009237,-0.01839746687,677853.2197,-4737752.661,235.6,-0.02154734044,-0.04077153094,-0.2154734044,-0.4077153094,-1.228331755,-2.238756764,0.04611513434,0.04611513434,0.4611513434,-0.2539264338,5.005139589,0.05005139589
68965700,-81.8576769,41.39969195,236.4,1.064899999,1747595365686,-2.520869255,1.309995294,9.255954742,0.1258398443,0.366463542,0.2771146297,0.01569466386,-0.0344704704,677853.1656,-4737752.759,235.6,-0.07562421227,-0.1389938537,-0.5407687183,-0.9822232276,-1.400185132,-2.669627117,0.1121246305,0.1582397648,1.121246305,0.05634630554,-20.81131378,-0.2581645337
68965800,-81.85767767,41.3996909,236.4,1.620499999,1747595365800,-3.503824234,1.699701071,9.895920753,-0.01459844597,-0.01051440369,-0.0172687117,0.02385519785,-0.05379904521,677853.1044,-4737752.869,235.6,-0.1367908545,-0.2490769876,-0.6116664223,-1.100831339,-1.543858301,-3.160069284,0.1259351202,0.284174885,1.259351202,-0.3611487968,-8.717409433,0.1209390434
68965900,-81.85767886,41.39968932,236.4,2.116938887,1747595365883,-3.304044962,1.619845033,9.880783081,-0.04661437217,-0.08949628239,-0.05601948965,0.03018537761,-0.06682083164,677853.0192,-4737753.019,235.6,-0.2220071083,-0.3988197008,-0.8521625376,-1.497427132,-1.744814414,-3.571359024,0.172292455,0.45646734,1.72292455,-0.3940143367,-12.40451352,-0.03687104086
68966000,-81.85768005,41.39968773,236.4,2.613377776,1747595365966,-3.10426569,1.539988995,9.865645409,-0.07863029838,-0.1684781611,-0.09477026761,0.03651555737,-0.07984261807,677852.9049,-4737753.215,235.6,-0.3362775173,-0.5956349988,-1.14270409,-1.968152979,-2.042094948,-3.895196369,0.2275829253,0.6840502653,2.275829253,-0.3375485229,-29.14777594,-0.1674326242
68966100,-81.85768175,41.39968558,236.4,2.952911109,1747595366078,-4.315009594,1.40229702,9.261755943,0.1054205596,0.08405762911,-0.5982266068,0.05067578706,-0.09448477663,677852.7637,-4737753.455,235.6,-0.4775168551,-0.8352604043,-1.412393379,-2.396254055,-2.260692666,-4.096345949,0.2781526299,0.9622028952,2.781526299,-0.1713848094,-63.38759328,-0.3423981734
68966200,-81.85768375,41.3996831,236.4,3.503366664,1747595366223,-3.418802261,2.153860807,9.286977768,0.03075280413,0.1129969209,-0.199911803,0.0643534674,-0.1139150905,677852.6026,-4737753.726,235.6,-0.6386353516,-1.105835108,-1.611184964,-2.705747038,-2.571270297,-4.255026432,0.3149124327,1.277115328,3.149124327,-0.3542423371,337.0148035,4.004023968
68966300,-81.85768613,41.39968013,236.4,3.961222219,1747595366292,-3.457545161,2.219381332,9.071635246,-0.09948387183,-0.08515297621,0.1578441709,0.06970013819,-0.1238996727,677852.4188,-4737754.052,235.6,-0.8224133085,-1.432192678,-1.83777957,-3.263575695,-2.848632454,-4.321995511,0.3745445243,1.651659852,3.745445243,-0.2157769759,43.13395223,-2.938808513
